,Tanggal,Pengguna,Tweet,Sentimen
0,2023-02-14 14:34:29,ktaehyun__g,_ID tolong cek dm min,Netral
1,2023-02-14 14:32:53,sweebypie,ini aku 11kg karena kena volume. harusnya 8kg kalau ga kena. jne asu bgt ya Allah😔,Netral
2,2023-02-14 14:25:21,doyok__31,_ID Kapan sampe nya ke rumah saya ya,Netral
3,2023-02-14 14:24:32,kafie_ribedz,"Hai admin, masih di ngirim paket di jne rawakuning? Hehehe",Netral
4,2023-02-14 14:16:59,asiaticakjw,jne cargo emg mahal nder klo mau yg murah cb pake sentral kargo 👍🏼👍🏼,Netral
5,2023-02-14 14:05:57,JNECare,"Sama-sama kak, Terima kasih telah menggunakan layanan JNE tetap setia menggunakan jasa JNE ya kak :) Thanks - Ari -",Positif
6,2023-02-14 14:04:31,FicoFey,"Iya e, akhire kyknya tetep pake JNE ato pos kilat",Netral
7,2023-02-14 14:02:56,hmmitha,jne ga jls anjir,Netral
8,2023-02-14 14:02:53,JNE_RPW,FORMAT! #JNEConfess for : -uname tujuan- -isi mention confess- -nama pena-,Netral
9,2023-02-14 13:57:56,Trililililily,"Nmax diserempet mobil box jne, untung kaga tumbang hamba yawlaaa..",Netral
10,2023-02-14 13:56:55,DoYourThangWhMe,"RT : wts skintific mugwort clay stick new (baru), ori, masih segel 💸 75.000 yaaa dijual karena salah beli + lg bu:"" 📌pengiri…",Positif
11,2023-02-14 13:54:18,ikul101,"Hadeh bener"" Dah udh 6 hari ga nyampe"", barang stuck disitu"" Aja, padahal tinggal dikirim ke rumah gua doang itu, ga lagi"" Dah pake jne https://t.co/xNgbiHKtSD",Netral
12,2023-02-14 13:53:58,JoPermadi,"_ar Ya bs juga bgt ,klu komparasinya ke kurir spt jne , tp ke kurir lain ya tetap ga bs bersaing om dgn tarif yg semi subsidi bakar duit, langkah yg ga bs diikuti pos indo.",Netral
13,2023-02-14 13:51:32,sweebypie,udah kayak ngirim ke luar negeri aja jne monyet,Netral
